🇨🇳电视频道,#genre#
CCTV1-综合,http://gouwu.pthv.gitv.tv:91/live/CCTV1-1500k/live.m3u8
CCTV1-综合,http://gouwu.pthv.gitv.tv:91/live/CCTV1hd-8M/live.m3u8
CCTV2-财经,http://gouwu.pthv.gitv.tv:91/live/CCTV2-1500k/live.m3u8
CCTV2-财经,http://gouwu.pthv.gitv.tv:91/live/CCTV2hd-8M/live.m3u8
CCTV3-综艺,http://gouwu.pthv.gitv.tv:91/live/CCTV3-1500k/live.m3u8
CCTV3-综艺,http://gouwu.pthv.gitv.tv:91/live/CCTV3hd-8M/live.m3u8
CCTV4-中文国际,http://gouwu.pthv.gitv.tv:91/live/CCTV4-1500k/live.m3u8
CCTV4-中文国际,http://gouwu.pthv.gitv.tv:91/live/CCTV4hd-8M/live.m3u8
CCTV5-体育,http://gouwu.pthv.gitv.tv:91/live/CCTV5-1500k/live.m3u8
CCTV5-体育,http://gouwu.pthv.gitv.tv:91/live/CCTV5hd-8M/live.m3u8
CCTV5+体育赛事,http://gouwu.pthv.gitv.tv:91/live/CCTV5+hd-8M/live.m3u8
CCTV6-电影,http://gouwu.pthv.gitv.tv:91/live/CCTV6-1500k/live.m3u8
CCTV6-电影,http://gouwu.pthv.gitv.tv:91/live/CCTV6hd-8M/live.m3u8
CCTV7-国防军事,http://gouwu.pthv.gitv.tv:91/live/CCTV7-1500k/live.m3u8
CCTV7-国防军事,http://gouwu.pthv.gitv.tv:91/live/CCTV7hd-8M/live.m3u8
CCTV8-电视剧,http://gouwu.pthv.gitv.tv:91/live/CCTV8-1500k/live.m3u8
CCTV8-电视剧,http://gouwu.pthv.gitv.tv:91/live/CCTV8hd-8M/live.m3u8
CCTV9-纪录,http://gouwu.pthv.gitv.tv:91/live/CCTV9-1500k/live.m3u8
CCTV9-纪录,http://gouwu.pthv.gitv.tv:91/live/CCTV9hd-8M/live.m3u8
CCTV10-科教,http://gouwu.pthv.gitv.tv:91/live/CCTV10-1500k/live.m3u8
CCTV10-科教,http://gouwu.pthv.gitv.tv:91/live/CCTV10hd-8M/live.m3u8
CCTV11-戏曲,http://gouwu.pthv.gitv.tv:91/live/CCTV11-1500k/live.m3u8
CCTV11-戏曲,http://gouwu.pthv.gitv.tv:91/live/CCTV11hd-8M/live.m3u8
CCTV12-社会与法,http://gouwu.pthv.gitv.tv:91/live/CCTV12-1500k/live.m3u8
CCTV12-社会与法,http://gouwu.pthv.gitv.tv:91/live/CCTV12hd-8M/live.m3u8
CCTV13-新闻,http://gouwu.pthv.gitv.tv:91/live/CCTV13-1500k/live.m3u8
CCTV13-新闻,http://gouwu.pthv.gitv.tv:91/live/CCTV13hd-8M/live.m3u8
CCTV14-少儿,http://gouwu.pthv.gitv.tv:91/live/CCTV14-1500k/live.m3u8
CCTV14-少儿,http://gouwu.pthv.gitv.tv:91/live/CCTV14hd-8M/live.m3u8
CCTV15-音乐,http://gouwu.pthv.gitv.tv:91/live/CCTV15-1500k/live.m3u8
CCTV15-音乐,http://gouwu.pthv.gitv.tv:91/live/CCTV15hd-8M/live.m3u8
CCTV16-奥林匹克,http://gouwu.pthv.gitv.tv:91/live/CCTV16hd-8M/live.m3u8
CCTV17-农业农村,http://gouwu.pthv.gitv.tv:91/live/CCTV17-1500k/live.m3u8
CCTV17-农业农村,http://gouwu.pthv.gitv.tv:91/live/CCTV17hd-8M/live.m3u8
湖南卫视,http://gouwu.pthv.gitv.tv:91/live/HuNWS-1500k/live.m3u8
